iteration,classifier,accuracy,sensitivity,specificity,macc,config,best_classifier
1,Nearest Neighbors,0.6510416666666666,0.4782608695652174,0.7054794520547946,0.591870160810006,{'rms': {}},RBF SVM
1,Linear SVM,0.7239583333333334,0.3695652173913043,0.8356164383561644,0.6025908278737344,{'rms': {}},RBF SVM
1,RBF SVM,0.6510416666666666,0.5217391304347826,0.6917808219178082,0.6067599761762954,{'rms': {}},RBF SVM
1,Gaussian Process,0.625,0.5434782608695652,0.6506849315068494,0.5970815961882072,{'rms': {}},RBF SVM
1,Decision Tree,0.59375,0.5,0.6232876712328768,0.5616438356164384,{'rms': {}},RBF SVM
1,Random Forest,0.6614583333333334,0.45652173913043476,0.726027397260274,0.5912745681953544,{'rms': {}},RBF SVM
1,Neural Net,0.6510416666666666,0.43478260869565216,0.7191780821917808,0.5769803454437165,{'rms': {}},RBF SVM
1,AdaBoost,0.6458333333333334,0.41304347826086957,0.7191780821917808,0.5661107802263252,{'rms': {}},RBF SVM
1,Naive Bayes,0.7395833333333334,0.2608695652173913,0.8904109589041096,0.5756402620607505,{'rms': {}},RBF SVM
1,QDA,0.7395833333333334,0.2608695652173913,0.8904109589041096,0.5756402620607505,{'rms': {}},RBF SVM
2,Nearest Neighbors,0.6875,0.5652173913043478,0.726027397260274,0.6456223942823109,"{'rms': {}, 'mfcc': {}}",Naive Bayes
2,Linear SVM,0.6770833333333334,0.5869565217391305,0.7054794520547946,0.6462179868969625,"{'rms': {}, 'mfcc': {}}",Naive Bayes
2,RBF SVM,0.7604166666666666,0.0,1.0,0.5,"{'rms': {}, 'mfcc': {}}",Naive Bayes
2,Gaussian Process,0.7447916666666666,0.45652173913043476,0.8356164383561644,0.6460690887432996,"{'rms': {}, 'mfcc': {}}",Naive Bayes
2,Decision Tree,0.71875,0.5434782608695652,0.773972602739726,0.6587254318046456,"{'rms': {}, 'mfcc': {}}",Naive Bayes
2,Random Forest,0.71875,0.4782608695652174,0.7945205479452054,0.6363907087552114,"{'rms': {}, 'mfcc': {}}",Naive Bayes
2,Neural Net,0.734375,0.5217391304347826,0.8013698630136986,0.6615544967242406,"{'rms': {}, 'mfcc': {}}",Naive Bayes
2,AdaBoost,0.78125,0.5217391304347826,0.863013698630137,0.6923764145324598,"{'rms': {}, 'mfcc': {}}",Naive Bayes
2,Naive Bayes,0.7135416666666666,0.6521739130434783,0.7328767123287672,0.6925253126861227,"{'rms': {}, 'mfcc': {}}",Naive Bayes
2,QDA,0.7447916666666666,0.5652173913043478,0.8013698630136986,0.6832936271590232,"{'rms': {}, 'mfcc': {}}",Naive Bayes
3,Nearest Neighbors,0.6979166666666666,0.6086956521739131,0.726027397260274,0.6673615247170935,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}}",Linear SVM
3,Linear SVM,0.703125,0.6739130434782609,0.7123287671232876,0.6931209053007743,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}}",Linear SVM
3,RBF SVM,0.7604166666666666,0.0,1.0,0.5,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}}",Linear SVM
3,Gaussian Process,0.7604166666666666,0.43478260869565216,0.863013698630137,0.6488981536628946,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}}",Linear SVM
3,Decision Tree,0.6197916666666666,0.6521739130434783,0.6095890410958904,0.6308814770696843,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}}",Linear SVM
3,Random Forest,0.6666666666666666,0.5434782608695652,0.7054794520547946,0.6244788564621799,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}}",Linear SVM
3,Neural Net,0.7604166666666666,0.5434782608695652,0.8287671232876712,0.6861226920786182,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}}",Linear SVM
3,AdaBoost,0.7604166666666666,0.43478260869565216,0.863013698630137,0.6488981536628946,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}}",Linear SVM
3,Naive Bayes,0.6979166666666666,0.6521739130434783,0.7123287671232876,0.682251340083383,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}}",Linear SVM
3,QDA,0.734375,0.6086956521739131,0.773972602739726,0.6913341274568195,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}}",Linear SVM
4,Nearest Neighbors,0.6875,0.5434782608695652,0.7328767123287672,0.6381774865991662,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}, 'zero_crossing_rate': {}}",Linear SVM
4,Linear SVM,0.6979166666666666,0.6521739130434783,0.7123287671232876,0.682251340083383,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}, 'zero_crossing_rate': {}}",Linear SVM
4,RBF SVM,0.7604166666666666,0.0,1.0,0.5,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}, 'zero_crossing_rate': {}}",Linear SVM
4,Gaussian Process,0.7552083333333334,0.41304347826086957,0.863013698630137,0.6380285884455033,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}, 'zero_crossing_rate': {}}",Linear SVM
4,Decision Tree,0.640625,0.5869565217391305,0.6575342465753424,0.6222453841572364,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}, 'zero_crossing_rate': {}}",Linear SVM
4,Random Forest,0.609375,0.5,0.6438356164383562,0.571917808219178,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}, 'zero_crossing_rate': {}}",Linear SVM
4,Neural Net,0.7291666666666666,0.5,0.8013698630136986,0.6506849315068493,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}, 'zero_crossing_rate': {}}",Linear SVM
4,AdaBoost,0.7291666666666666,0.41304347826086957,0.8287671232876712,0.6209053007742704,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}, 'zero_crossing_rate': {}}",Linear SVM
4,Naive Bayes,0.6822916666666666,0.6086956521739131,0.7054794520547946,0.6570875521143538,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}, 'zero_crossing_rate': {}}",Linear SVM
4,QDA,0.7239583333333334,0.5869565217391305,0.7671232876712328,0.6770399047051816,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}, 'zero_crossing_rate': {}}",Linear SVM
5,Nearest Neighbors,0.7083333333333334,0.6304347826086957,0.7328767123287672,0.6816557474687315,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}, 'zero_crossing_rate': {}, 'chroma': {}}",Nearest Neighbors
5,Linear SVM,0.703125,0.5434782608695652,0.7534246575342466,0.6484514592019059,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}, 'zero_crossing_rate': {}, 'chroma': {}}",Nearest Neighbors
5,RBF SVM,0.7604166666666666,0.0,1.0,0.5,"{'rms': {}, 'mfcc': {}, 'spectral_contrast': {}, 'zero_crossing_rate': {}, 'chroma': {}}",Nearest Neighbors
